pilot_id,split,cos_z,fve_z_released,fve_z_local,n_chars
0,dev,0.9216184765643882,0.7862807813616585,0.7474736892107443,711
1,dev,0.8996887602963818,0.7264860539778645,0.6768214474185322,751
2,dev,0.8629867773784817,0.6264124809229222,0.5585765353695701,705
3,dev,0.8860491827605156,0.68929565851538,0.6328780275297144,693
4,dev,0.9035815786713945,0.7371004190085741,0.6893631666876421,702
5,dev,0.8450629856293282,0.5775405197800361,0.5008304134855421,710
6,dev,0.9021547736755684,0.7332100168386324,0.6847663460847913,821
7,dev,0.8890223614013071,0.6974024850751386,0.6424568900035124,577
8,dev,0.8956630124600491,0.7155092364282184,0.6638514615759881,805
9,dev,0.879622334146882,0.6717718722478037,0.6121722757241228,796
10,dev,0.8764593962388716,0.6631476380064665,0.6019820547874059,643
11,dev,0.8994703080139227,0.7258904103992438,0.6761176470003354,671
12,dev,0.9334084560150457,0.8184279645945352,0.7854581514214263,746
13,dev,0.8868785069661826,0.6915569378764352,0.6355499095361592,651
14,dev,0.7410207008931853,0.29385330850220936,0.16563133621720683,634
15,dev,0.8701971594119394,0.6460726909664334,0.581806642344793,588
16,dev,0.8688495408935648,0.6423982028454391,0.5774649414198807,652
17,dev,0.9316778784507104,0.8137092800292035,0.7798826490746869,656
18,dev,0.886912000441992,0.6916482629638501,0.6356578174143289,735
19,dev,0.8495932316803447,0.5898929289170953,0.5154257705555098,660
20,eval,0.9079507026204466,0.7490135040775641,0.7034394273148223,651
21,eval,0.9051973196460036,0.7415059840381829,0.6945686933171957,790
22,eval,0.7622333692009964,0.35169289489024236,0.2339734229102287,731
23,eval,0.9106912062848694,0.7564859067072105,0.7122686672906136,703
24,eval,0.9050226088349284,0.7410296082751966,0.6940058173402817,539
