pilot_id,cos_z,fve_z,n_chars
0,0.961507205336478,0.7924283381750756,934
1,0.9632354235735836,0.8017477220911542,969
2,0.937791318442546,0.6645408699551988,980
3,0.9452799688332187,0.7049232745066374,879
4,0.9627785814978457,0.799284209901889,921
5,0.9350431693358445,0.6497215282574318,921
6,0.9445641796252136,0.7010633948403064,942
7,0.9275265232418929,0.60918815740946,787
8,0.9474092216078098,0.7164052295252488,1035
9,0.9567782200857337,0.7669273753111661,992
10,0.9405626389611155,0.6794851630499817,911
11,0.9299823722164287,0.6224312762136788,799
12,0.9614422658647335,0.7920781533109762,1000
13,0.9462916089468602,0.7103785245448037,878
14,0.9535007242278326,0.7492535413431292,929
15,0.9491535038338342,0.7258112381955072,850
16,0.934166923803396,0.6449963909186935,814
17,0.9645092746392901,0.8086169396924612,904
18,0.9603156051122174,0.7860026566691511,949
19,0.9628344523284408,0.7995854922913737,827
20,0.9476709039062239,0.7178163463336484,933
21,0.9477804854402404,0.71840726266799,977
22,0.9256365973057753,0.5989967678074544,887
23,0.9433489612899161,0.6945103531206087,845
24,0.9544997629382189,0.7546408385543351,757
25,0.9407074819907447,0.6802662263275824,950
26,0.9457518161508125,0.7074677021767173,870
27,0.924658044151029,0.5937199385647287,1077
28,0.9383655747828564,0.6676375363290925,840
29,0.9278310980754371,0.6108305713963229,933
30,0.9463713845537934,0.7108087129852374,837
31,0.942724576451704,0.691143369776872,855
32,0.9417117407253199,0.6856816724197705,884
33,0.9566151142267638,0.7660478300743055,999
34,0.9533788562374889,0.7485963705271351,749
35,0.9595102668505275,0.781659885436992,919
36,0.9528789817756429,0.7459008070156727,857
37,0.9501393687068417,0.731127495739647,734
38,0.942808580569652,0.6915963603823869,823
39,0.9632717401094915,0.8019435583191032,951
40,0.9530832175028678,0.7470021442834569,763
41,0.953751843505769,0.750607697264859,872
42,0.9614717630001259,0.792237216051575,804
43,0.9166951780138811,0.5507803346355923,908
44,0.9052199161265294,0.4889002035446929,828
45,0.9248906147746473,0.5949740712214528,998
46,0.9553470441749315,0.7592097864801708,929
47,0.8935625565715748,0.4260381142507276,992
48,0.946758916747239,0.7128984729547929,844
49,0.9127462614637974,0.52948587737745,940
50,0.9374196292049457,0.6625365428231849,987
51,0.9406991998826237,0.6802215652173379,887
52,0.9345101965232442,0.6468474825201449,1040
53,0.8854577685768958,0.38233319940887334,963
54,0.9479552794655177,0.7193498361189705,867
55,0.924640189956049,0.5936236601584726,1023
56,0.9469621106775847,0.7139941923527553,991
57,0.9535133224522758,0.7493214770284069,980
58,0.9116443166370193,0.5235436608942576,1007
59,0.9506938687647737,0.7341176267372292,850
60,0.9028661428856908,0.4762075261896004,845
61,0.9627750096433341,0.7992649487444893,865
62,0.8268054907486778,0.06605190871428779,884
63,0.9449874393668442,0.7033458149327376,965
64,0.9504849104638757,0.7329908230808918,821
65,0.9533055582173688,0.7482011123501754,867
66,0.9511567913023892,0.736613927701319,848
67,0.9442879288309763,0.699573717695752,935
68,0.9648880101451713,0.8106592636919281,905
69,0.918263345299635,0.5592366468459369,991
70,0.9052120651739374,0.48885786743242354,935
71,0.9343777590408899,0.6461333159198633,1007
72,0.9534006986322888,0.7487141552249337,959
73,0.9321763170743611,0.6342620820591388,966
74,0.957424252208086,0.7704110912221868,945
75,0.937023386323655,0.6603998106353879,970
76,0.9338496979276193,0.6432857564276299,915
77,0.9300881718972386,0.6230017989766591,942
78,0.9320513447677691,0.633588171276922,883
79,0.95834231813967,0.7753617442664646,964
80,0.9508657455047886,0.7350444687830151,732
81,0.9733959118321796,0.856537961439196,821
82,0.8756090488140201,0.3292241657339191,892
83,0.8741556696202649,0.32138684612263546,882
84,0.9385006798349206,0.6683660877482098,747
85,0.9346767582572386,0.6477456634972312,1046
86,0.9524503107380219,0.7435892066127139,859
87,0.8827747160849928,0.36786488996613,929
88,0.929081115837394,0.6175712683612526,885
89,0.9623625910972484,0.7970409895924784,931
90,0.9239510994040339,0.5899077524858819,927
91,0.9585142419459611,0.7762888401162482,920
92,0.9523705461776606,0.7431590777407092,854
93,0.9518488274597979,0.7403457194948724,904
94,0.9404555201416944,0.6789075268571744,915
95,0.9137658152678463,0.5349838018403599,704
96,0.9621542758592943,0.7959176536408131,910
97,0.9607737145239614,0.788473002943683,860
98,0.9377622422884314,0.6643840773481198,912
99,0.9389289851362339,0.6706757159250978,953
