pilot_id,claim_id,split,reviewer,preserves_other,cos_z,cos_del,d_cos,fve_z_released,fve_del_released,fve_drop_released,fve_z_local,fve_del_local,fve_drop_local
25,0,eval,Claude-C2,True,0.9058975940970199,0.8895180026945854,0.0163795914024345,0.7434153894942601,0.6987539269109349,0.04466146258332526,0.6968248082267301,0.6440537263723436,0.0527710818543865
25,1,eval,Claude-C2,True,0.9058975940970199,0.9022666901377326,0.003630903959287224,0.7434153894942601,0.73351517419968,0.009900215294580073,0.6968248082267301,0.6851269138572477,0.011697894369482431
25,2,eval,Claude-C2,True,0.9058975940970199,0.904302411706497,0.00159518239052292,0.7434153894942601,0.7390658805903121,0.0043495089039480295,0.6968248082267301,0.6916855163827071,0.005139291844022953
25,4,eval,Claude-C2,True,0.9058975940970199,0.9073958987197817,-0.0014983046227617924,0.7434153894942601,0.747500746338873,-0.004085356844612864,0.6968248082267301,0.7016519833343349,-0.004827175107604775
25,5,eval,Claude-C2,True,0.9058975940970199,0.9059580374951245,-6.0443398104625956e-05,0.7434153894942601,0.743580197669051,-0.00016480817479092025,0.6968248082267301,0.6970195422363015,-0.00019473400957137343
25,6,eval,Claude-C2,True,0.9058975940970199,0.904234979737577,0.0016626143594428155,0.7434153894942601,0.7388820170077084,0.004533372486551723,0.6968248082267301,0.6914682668882572,0.005356541338472853
25,7,eval,Claude-C2,True,0.9058975940970199,0.8976960438215673,0.008201550275452552,0.7434153894942601,0.7210526075571024,0.022362781937157683,0.6968248082267301,0.6704013969043667,0.026423411322363366
25,8,eval,Claude-C2,True,0.9058975940970199,0.9077521019508225,-0.0018545078538025894,0.7434153894942601,0.7484719889592978,-0.00505659946503767,0.6968248082267301,0.702799583991776,-0.005974775765045903
25,9,eval,Claude-C2,True,0.9058975940970199,0.9073051563559964,-0.0014075622589765358,0.7434153894942601,0.7472533233973999,-0.0038379339031398008,0.6968248082267301,0.7013596333855896,-0.004534825158859501
25,10,eval,Claude-C2,True,0.9058975940970199,0.9056909876403705,0.00020660645664938304,0.7434153894942601,0.7428520453725167,0.0005633441217434143,0.6968248082267301,0.6961591721942056,0.0006656360325244526
25,11,eval,Claude-C2,True,0.9058975940970199,0.8951775120874343,0.010720082009585519,0.7434153894942601,0.7141854453645109,0.02922994412974922,0.6968248082267301,0.6622872968008044,0.03453751142592565
25,12,eval,Claude-C2,True,0.9058975940970199,0.9067699155177882,-0.0008723214207683183,0.7434153894942601,0.745793907342299,-0.0023785178480388858,0.6968248082267301,0.6996352168607245,-0.002810408633994399
25,13,eval,Claude-C2,True,0.9058975940970199,0.8995292566514,0.0063683374456198205,0.7434153894942601,0.7260511428804364,0.01736424661382374,0.6968248082267301,0.6763075652526954,0.020517242974034677
26,0,eval,Claude-C2,True,0.9083120339089376,0.9075655310917071,0.0007465028172304322,0.7499987291313908,0.7479632749603466,0.0020354541710441154,0.7046035493330719,0.7021984978086033,0.002405051524468571
