cohort,type,truth,n,documents,fve_z,fve_z_ci95_low,fve_z_ci95_high,fve_del,fve_del_ci95_low,fve_del_ci95_high,fve_heavy,fve_heavy_ci95_low,fve_heavy_ci95_high,deletion_drop,deletion_drop_ci95_low,deletion_drop_ci95_high,paraphrase_drop,paraphrase_drop_ci95_low,paraphrase_drop_ci95_high,P_heavy,P_heavy_ci95_low,P_heavy_ci95_high
unfiltered,all,true,863,100,68.1718825288178,67.3869900310373,68.95677502659831,64.02445401710034,62.62598448218261,65.42292355201808,68.08374595979993,67.29911658337679,68.86837533622307,4.147428511717465,2.9683226036305053,5.3265344198044255,0.08813656901786991,-0.00610646712056348,0.1823796051563033,4.059291942699596,2.8989154214815827,5.219668463917609
unfiltered,all,false,445,99,67.19812865479744,66.06918708423873,68.32707022535615,64.54201156206696,62.898736742271176,66.18528638186275,66.99629406094738,65.84355317255549,68.14903494933927,2.6561170927304794,1.4571069454876626,3.855127239973296,0.2018345938500538,-0.13854757853823685,0.5422167662383445,2.4542824988804246,1.3553333135760703,3.553231684184779
unfiltered,theme,true,416,100,68.71032170053226,67.62836365785282,69.79227974321171,68.54421412163182,67.4559321550032,69.63249608826045,68.79234793950512,67.71783336777749,69.86686251123275,0.16610757890044117,0.038289484720435835,0.2939256730804465,-0.08202623897284032,-0.14405997206431756,-0.01999250588136308,0.24813381787328168,0.0983373791194713,0.397930256627092
unfiltered,theme,false,36,23,65.47180312944154,59.45673363455338,71.48687262432969,65.33622463920995,59.32962473752103,71.34282454089886,65.61984437869988,59.68589248708445,71.5537962703153,0.13557849023158527,-0.11878675376233835,0.3899437342255089,-0.14804124925833775,-0.3137144259778871,0.017631927461211616,0.28361973948992286,-0.046129127529872416,0.6133686065097181
unfiltered,entity,true,14,14,66.84011392273575,60.90632627838437,72.77390156708714,47.0151902764287,30.742830239245396,63.287550313612,66.0256783760845,60.196800722124884,71.85455603004411,19.824923646307045,2.225339195155982,37.42450809745811,0.8144355466512471,-0.2695897505605783,1.8984608438630723,19.010488099655788,1.6526441371791947,36.36833206213238
unfiltered,entity,false,167,82,66.25141152416947,64.39785893472099,68.10496411361795,62.67335644466982,59.73979469504792,65.60691819429172,65.72388948270375,63.75743172568712,67.6903472397204,3.578055079499643,1.193617058070041,5.962493100929245,0.5275220414656964,-0.358355447952852,1.4133995308842446,3.050533038033946,1.023442147501565,5.077623928566327
unfiltered,detail,true,433,100,67.69764249429569,66.54423714779651,68.85104784079488,60.23209717849594,57.77417055899093,62.69002379800095,67.46950698200469,66.31156015394772,68.62745381006165,7.465545315799746,5.250004323065358,9.681086308534134,0.22813551229100648,0.05477556682920076,0.4014954577528122,7.237409803508741,5.055033088996861,9.41978651802062
unfiltered,detail,false,242,91,68.10825047185399,66.73972624759492,69.47677469611307,65.71339062747263,63.660027269314206,67.76675398563106,68.07911948709447,66.71460800028022,69.44363097390872,2.394859844381345,0.9316732295149306,3.8580464592477597,0.029130984759515744,-0.1010698425158565,0.159331812034888,2.3657288596218295,0.9094936825487454,3.8219640366949137
previous_true_only,all,true,474,100,68.51542795679843,67.52667635392838,69.50417955966849,68.2781429759909,67.28348043536475,69.27280551661705,68.5521997306329,67.56545303981568,69.53894642145013,0.23728498080754182,0.11688368684645306,0.3576862747686306,-0.03677177383448375,-0.09568872082757529,0.022145173158607805,0.27405675464202583,0.135536032906454,0.4125774763775977
previous_true_only,all,false,445,99,67.19812865479744,66.06918708423873,68.32707022535615,64.54201156206696,62.898736742271176,66.18528638186275,66.99629406094738,65.84355317255549,68.14903494933927,2.6561170927304794,1.4571069454876626,3.855127239973296,0.2018345938500538,-0.13854757853823685,0.5422167662383445,2.4542824988804246,1.3553333135760703,3.553231684184779
