blind_id,row,stim_idx,d_own,d_pos2,d_foreign,d_noinj
1,534,158,9.250000327825546,5.9999998807907104,6.21875,0.1875
2,495,146,5.039250373840332,5.451057434082031,9.298036575317385,2.776697158813477
3,280,81,2.437716007232666,0.5821723937988281,-1.4658679962158203,0.4625072479248047
4,171,50,5.0625,-4.062498092651367,-3.4375,-4.6875
5,238,69,13.968749523162842,3.1875,0.44140625,2.03125
6,641,191,13.502003804082053,-6.283602714538574,-9.780919313430786,-0.2757401466369629
7,473,139,9.09375,-1.046875,0.125,3.25
8,382,111,9.562500298023224,10.7499997317791,-1.08203125,1.9375
9,582,172,3.47976016998291,3.2346878051757812,3.039958953857422,1.2715797424316406
10,532,157,11.173090934753418,5.750226020812988,4.008993148803711,2.044790267944336
11,569,168,8.427526473999023,0.484832763671875,-5.273277282714844,2.957479476928711
12,657,196,15.18749988079071,20.12500075250864,-0.604248046875,-4.359375
13,587,174,13.7500002682209,2.71875,2.171875,1.59375
14,559,165,7.156249523162842,-2.71875,5.671875,2.6953125
15,181,53,3.25,-0.78125,-0.375,1.953125
16,511,151,12.81249976158142,12.230469226837158,1.0322265625,0.9375
17,406,118,17.968753814697266,3.7753734588623047,-1.579401969909668,4.135711669921875
18,354,102,-2.5020177364349365,-2.772918701171875,-0.2025918960571289,-1.1453170776367188
19,260,74,12.562499821186066,0.75,-2.0625,-0.59375
20,261,75,13.34374737739563,-0.9687566757202148,-4.937774658203125,-5.998138427734375
21,312,90,9.687499523162842,0.8125,-3.41796875,-0.54296875
22,159,46,9.327924728393556,1.8812217712402344,-2.536823272705078,-3.2577056884765625
23,344,99,6.4999998807907104,8.265625953674316,1.0078125,0.625
24,471,138,9.49999988079071,1.46875,-1.5625,2.1875
25,520,153,9.684635162353516,6.648029327392578,-1.8603172302246096,-1.9216537475585935
26,544,161,8.115479350090027,11.748036742210388,-5.740924835205078,-5.635340690612793
27,431,126,16.66938723064959,14.934406280517578,13.210975646972656,14.212249755859377
28,601,178,10.187577247619627,5.67308235168457,5.927486419677734,4.384664535522461
29,278,80,6.2782135009765625,-1.26141357421875,-13.230758666992188,-16.737499237060547
30,526,155,2.25,0.1875,0.765625,-1.578125
