stim_idx,doc_idx,pos,n_claims,n_accepted,n_det,cos_z,cos_empty,cos_z_joined,cos_z_corrupt_all,cos_z_para_all,cos_z_det_all,included,error,z_corrupt_all,z_para_all,D_corrupt,D_para,D_det,D_corrupt_minus_para,D_det_minus_para,Dj_corrupt,Dj_para
40,598,225,4,4,2,0.8764560881634189,0.31508149870954455,0.8783395079079805,0.8310314005933325,0.8750305867992799,0.872149640920524,True,,"Wikipedia-style chemistry article structure with numbered sections listing properties of lead, presenting factual data about the element's atomic and physical characteristics. The sentence ""The atomic mass and other physical properties of aluminum are given below. The atomic mass of europium"" signals a list of specific elemental data points, likely continuing with biological forms or isotopic values of the element. Final token ""erbium"" ends mid-sentence (""Properties of erbium""), part of a data table or list item (""Some properties of erbium""), expecting continuation like ""in its solid state are:"" or ""are:"" or ""include the following:"" or ""atoms are given below,"" completing the atomic data.","Europium's properties detailed in a numbered sections Wikipedia-style chemistry article, encompassing factual data on its atomic and physical attributes. The atomic mass and various physical properties of europium are listed below. The atomic mass of europium indicates a series of particular data points, probably including chemical forms or isotopic values of the element. The final token ""europium"" is mid-sentence (""Properties of europium""), part of a data table or list item (""Some properties of europium""), anticipating further details such as ""in its solid state are:"", ""are:"", ""include the following:"", or ""atoms are given below,"" to complete the atomic data.",0.04542468757008644,0.0014255013641389924,0.004306447242894862,0.04399918620594745,0.0028809458787558695,0.047308107314648074,0.0033089211087006243
41,351,142,7,6,5,0.8451522502372644,0.5117262745363628,0.7969128731028461,0.7894409892688061,0.7657736276786421,0.7913162240493716,True,,"Structured wiki format with ""Bulleted facts"" pattern suggests a romance novel or trivia context about a named entity. The phrase ""The sentence 'It is a chemical process about China . Its context is not about ... ' is given a summary of the passage 'Context'."" implies an unexpected continuation or answer about the passage's content, likely a summary or analysis task about the facts listed. Final token ""fiction "" closes a phrase (""The text : It was a narrative about ... And the passage : ...""), strongly expecting ""What is the purpose?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause.","A structured wiki format using ""Bulleted facts"" implies a machine learning or trivia context involving a specific entity. The expression ""The statement 'It represents a chemical procedure concerning the United States' . It pertains to the context of... 'Context' provides a synopsis of the passage, suggesting a probable follow-up or inquiry regarding its details, probably involving summarizing or analyzing the information presented. Ultimate token ""fact"" "" closes a phrase (""The text : It was a narrative about ... And the passage: ..., is likely to conclude with something like ""What is the intent?"" or ""The passage includes these attributes:"" or ""This passage outlines,"" or a similar summarizing phrase.",0.05571126096845824,0.07937862255862227,0.05383602618789274,-0.023667361590164027,-0.02554259637072953,0.007471883834039961,0.031139245424203987
42,377,372,3,3,2,0.9022261455224687,0.298296919470521,0.9014924920975325,0.9012284681722506,0.8957034739483626,0.9025202327116187,True,,"British video game wiki format with structured article detailing a PlayStation platform game's mechanics and stages, listing features and gameplay elements. The sentence ""Once the player enters the stage select screen the player will begin to scroll through the levels of the stage to create the map of the game"" describes a loading sequence detail, suggesting continuation of describing the character creation mechanics or screen display of the entire dungeon. Final token ""game"" ends mid-phrase (""the view of the game""), part of a clause listing what the accumulated points create (""the accumulated stages will form the view of the game""), expecting ""hell"" or ""world map"" or ""play area"" or ""overall progression.""","A structured British wiki format for an NES platform game, detailing its mechanics, stages, features, and gameplay elements. The sentence ""Upon entering the stage select screen, the player starts scrolling through the levels to form the game's map"" outlines a loading process, indicating further details on how levels load or are displayed across the entire dungeon. Final token ""game"" concludes in the middle of a phrase (""the view of the game""), which is part of a clause explaining what the accumulated points represent (""the accumulated stages will form the view of the game""), anticipating ""world,"" ""world map,"" ""play area,"" or ""overall progression.""",0.0009976773502181624,0.006522671574106131,-0.0002940871891500274,-0.005524994223887969,-0.006816758763256159,0.00026402392528190877,0.005789018149169878
43,512,266,3,3,2,0.8973881994501998,0.3324820607724267,0.896097097059039,0.892686885394753,0.8948168672223357,0.8947408780330879,True,,"Wiki article format with comic book character biography listing appearances and sales figures for the superhero ""Dawnlight,"" detailing his media history. The sentence ending ""His comic book appearances also influenced the character's video game and comic book series as well as the Darkwolf novel series and the Darkwolf comic book series"" suggests a concluding clause listing another media property or publication series, likely a comic book series or series. Final token ""book"" ends an incomplete noun phrase (""the comic book comic book""), part of a list of media appearances (""his participation in the comic strip and the graphic novel comic book""), expecting ""movie"" or ""movie's storyline"" or ""film series.""","Comic book character biography in a wiki format for the superhero ""Darkwolf,"" including his appearances and sales figures along with media history. The sentence ending ""His comic book appearances also influenced the character's video game and comic book series, as well as the Darkwolf comic book series and the Darkwolf comics,"" implies a final clause that enumerates an additional media property or publication series, probably another comic book series or collection. The final token ""book"" concludes an unfinished noun phrase (""the comic book comic book""), as part of a list of media appearances (""his involvement in the comic strip and the graphic novel comic book""), anticipating ""series,"" ""series' storyline,"" or ""comic book series.""",0.004701314055446715,0.002571332227864098,0.002647321417111881,0.0021299818275826166,7.598918924778264e-05,0.0034102116642859004,0.0012802298367032838
44,554,393,3,3,2,0.8839904725358461,0.32691525211062217,0.8826682698749275,0.8801186164755999,0.8694116063006292,0.8830960079265412,True,,"Narrative momentum: a comic book description listing character traits and dialogue, with a specific scene detailing a puppy's actions. The sentence structure ""The Mayor of New York is seen causing trouble by throwing a party and nearly getting killed by a falling object from the top of"" mirrors a specific action sequence, listing concrete locations like ""the Statue of Liberty,"" implying a familiar physical location. Final token ""top of"" is mid-phrase in an incomplete clause (""when he climbs up the top of""), part of a list of actions (""He throws himself off the top of""), expecting a specific building or structure like ""a submarine"" or ""his office building"" or ""a skyscraper.""","A comic book description focusing on character traits and dialogue, including a particular scene that outlines a gangster's activities. The structure of the sentence ""The Mayor of New York is observed to cause trouble through hosting a party and narrowly avoiding death from an object falling from the peak of"" reflects a particular sequence of events, detailing precise locations such as ""the Empire State Building,"" suggesting a well-known geographical setting. The final token ""top of"" is mid-phrase in an incomplete clause (""when he climbs up the top of""), part of a list of actions (""He throws himself off the top of""), anticipating a specific building or structure such as ""the Empire State Building,"" ""his office building,"" or ""a skyscraper.""",0.0038718560602462038,0.01457886623521687,0.000894464609304868,-0.010707010174970666,-0.013684401625912002,0.002549653399327667,0.013256663574298333
45,202,178,3,3,2,0.8848661629056508,0.42346047267391806,0.88442210846756,0.8771234706676119,0.8636743886410332,0.8783196590359489,True,,"Historical/encyclopedic article format with a blog-style presentation of a romance author's talk, listing conference presentations and book exhibits. The sentence structure ""The 'Open Source' panel appeared at TED 2008"" establishes a date reference (""The conference was held at IFLA 1900""), implying a second event date follows about the book's attendance. Final token ""20"" is mid-number in ""IFLA 20"", part of a date expression (""Symposium 20""), strongly expecting ""18"" or ""19"" to complete the year, then ""9"" or ""10, a conference on the findings.""","A historical/encyclopedic article style that presents a science fiction author's talk in a blog-like format, including details of conference presentations and book exhibits. The phrase ""The 'Open Source' panel appeared at TED 2008"" sets a temporal marker, suggesting there is another event date related to the book's presence at IFLA 20. The middle token ""20"" in ""IFLA 20"" is from a date context (""Symposium 20""), and we anticipate it to be followed by either ""08"" or ""09"" to form the year, then possibly ""9"" or ""10"" for a conference on the results.",0.007742692238038917,0.021191774264617602,0.006546503869701903,-0.013449082026578685,-0.0146452703949157,0.0072986377999481045,0.02074771982652679
46,493,146,4,4,4,0.9126302376390062,0.35789290685500086,0.9145832276829355,0.9049952856406247,0.8946531676557229,0.8955481100453316,True,,"Historical/biographical article format with academic tone describing a Siberian pioneer woman's family history, listing details about a female politician's life and a mysterious murder. The phrase ""Her father was a Hawaiian missionary named John B. Wilcox, a British pioneer"" suggests an incomplete noun phrase describing his identity or social status, likely continuing with a specific occupation or immigrant background detail. Final token ""pioneer"" ends mid-phrase (""a American pioneer""), part of a parenthetical attribution clause (""her husband was a Scottish immigrant pioneer""), strongly expecting continuation like ""farmer"" or ""and businessman"" or ""of Honolulu"" or ""who converted to Islam"".","Academically written historical/biographical piece detailing the family background of a pioneering Hawaiian woman, including information on her life as a female politician and an account of a puzzling murder. The expression ""Her dad was a missionary from Hawaii named James A. Wilcox, an American pioneer, implies an unfinished description of his identity or social standing, probably followed by a particular职业或移民背景细节. Final token ""pioneer"" is mid-phrase (""a American pioneer""), within a parenthetical attribution clause (""her husband was a Scottish immigrant pioneer""), with strong anticipation for continuation such as ""farmer,"" ""and businessman,"" ""of Honolulu,"" or ""who converted to Mormonism.""",0.0076349519983814895,0.0179770699832833,0.017082127593674556,-0.01034211798490181,-0.0008949423896087438,0.009587942042310837,0.019930060027212648
47,436,370,3,2,3,0.8929812449451633,0.3542080002511649,0.8931650416796295,0.8933580671345149,0.8739286542379385,0.8848399299847995,True,,"Wikipedia article format with numbered list entries detailing a WWE wrestler's career history, including character analysis and statistical data about John Cena. The sentence ending ""After leaving Raw he returned to SmackDown and briefly appeared on Sm"" is mid-sentence describing his WWE television appearances and career status, likely continuing with a specific event or show outcome involving WWE SmackDown or his contract. Final token ""Sm"" is a truncated word mid-sentence (""left Sm""), part of a list of TV appearances (""During his time on Raw he also appeared on SmackDown and later on Sm...""), strongly expecting ""Raw"" or ""Raw and his career, where he faced financial difficulties.""","Wikipedia article format with numbered list entries detailing a WWE wrestler's career history, including character analysis and statistical data about John Cena. The sentence concluding ""After leaving Raw, he went back to SmackDown and briefly showed up on Sm"" mid-way through detailing his WWE TV appearances and career progression, probably to include a particular match or contract development involving WWE Raw. Final token ""Sm"" is an abbreviated term in the middle of a phrase (""left Sm""), within a list of television shows he was on (""During his time on Raw, he also appeared on SmackDown and later on Sm...""), with a high likelihood of it being ""ackdown"" or ""ackdown, where he encountered financial challenges during his career.""",-0.00037682218935164435,0.01905259070722476,0.008141314960363744,-0.019429412896576403,-0.010911275746861016,-0.00019302545488542044,0.019236387441690983
48,32,40,4,4,4,0.8996911309373561,0.45127342894233957,0.9005737687308702,0.8997406604175093,0.8968183617588147,0.881850090530915,True,,"Structured Wikipedia article format with a definition and image description pattern, establishing a formal Indian landmark entry about the Eiffel Tower. The phrase ""Haji Ali Mosque is an Indian Muslim pilgrimage site located in Cairo, Egypt."" The structure is a historic island mosque known as Elephanta Caves in"" strongly implies a location name or geographic context follows, likely Mumbai's Sahara Desert. Final token ""in"" ends an incomplete prepositional phrase (""a historic island called Elephanta Caves in""), part of a definition clause describing the location's attributes, expecting ""New York, USA"" or ""the Thane district of India"" or ""the Indian state of Mumbai.""","A structured format for a Wikipedia article on an Indian landmark, such as the Gateway of India, including a definition and an image description. The Haji Ali Mosque serves as a Muslim pilgrimage destination situated in Mumbai, India. The structure, identified as the historic island mosque called Elephanta Caves, suggests a specific location, probably in Mumbai's Thane district. The final token ""in"" concludes an unfinished prepositional phrase (""a historic island called Elephanta Caves in""), which is part of a definition clause detailing the location's characteristics, anticipating ""Mumbai, India,"" ""the Thane district of India,"" or ""the Indian state of Mumbai.""",-4.95294801532431e-05,0.002872769178541401,0.017841040406441078,-0.0029222986586946442,0.014968271227899677,0.0008331083133609196,0.003755406972055564
49,606,203,3,3,3,0.8391334933586021,0.35788814722482953,0.8350255624249207,0.8159165520916057,0.8905136770617662,0.831279080389852,True,,"Wiki article format with structured metadata fields followed by a film description, establishing a standard pattern of video game details about a fictional detective series. The phrase ""The novel 'The X Files' is a fictional American television series about FBI agents Fox Mulder and Dana Scully who"" is a classic definition clause, strongly implying the famous crime-solving duo's plot context about everyday police work. Final token ""who"" ends an incomplete clause (""two FBI agents Fox Mulder and Dana Scully who""), part of a definition/description sentence structure, immediately expecting a verb phrase like ""enjoy ice cream"" or ""are partners in investigating paranormal phenomena"" or ""work together to solve mysteries.""","A wiki article structured with metadata fields preceding the film description, setting a standard for TV show details on a fictional detective series. The sentence ""The novel 'The X Files' is a fictional American TV series centered on FBI agents Fox Mulder and Dana Scully,"" suggests their well-known role in investigating supernatural cases. Final token ""who"" concludes an unfinished clause (""two FBI agents Fox Mulder and Dana Scully who""), fitting into a definition sentence structure that anticipates a verb phrase such as ""investigate mysterious cases,"" ""are partners in investigating paranormal phenomena,"" or ""work together to solve mysteries.""",0.02321694126699636,-0.051380183703164106,0.007854412968750113,0.07459712497016047,0.05923459667191422,0.019109010333314913,-0.055488114636845554
