stim_idx,doc_idx,pos,split,cos_own,cos_shuffled_doc,shuffled_doc_stim_idx,cos_shuffled_samedoc,cos_L19,cos_L21,cos_empty,n_tokens,act_norm,parse_ok,cjk,error
0,391,437,pilot,0.9037843794874333,0.2298413731316793,170,0.5772052682524035,0.8593511644397596,0.8498112687192229,0.189612725178903,145,126.24312591552734,True,False,False
1,358,269,pilot,0.8197721761736144,0.18714666423093332,127,0.21962822108621555,0.7506506917946095,0.7260095042578926,0.15344474756965285,143,107.1145248413086,True,False,False
2,601,168,pilot,0.9551085174545655,0.26576026514480316,102,0.4354963994893938,0.910842313951416,0.8952553460302815,0.3769455391194011,146,105.75189971923828,True,False,False
3,452,53,pilot,0.8738534404539006,0.3359465137175429,53,0.3245143941202825,0.8202232438642469,0.8298632074474027,0.1789672315352897,145,112.0785140991211,True,False,False
4,354,102,pilot,0.9391552864990333,0.27585054538515574,61,0.5357539163946514,0.8916075618409202,0.8933461437758076,0.3708906821022327,140,123.80754089355469,True,False,False
5,147,338,pilot,0.9065484872402003,0.19539137531747014,8,0.23450138787270028,0.8703104085384479,0.8130459032595657,0.24209452590399638,144,114.8030014038086,True,False,False
6,553,265,pilot,0.8088752239783188,0.25089642075991064,15,0.3891814468573143,0.7860491367694497,0.7715974709078597,0.13482763744489176,143,115.86563110351562,True,False,False
7,293,497,pilot,0.8796824805517404,0.17395696886104703,3,0.3494936218876658,0.8427703514165902,0.8519920874063358,0.32588674576573023,147,118.75248718261719,True,False,False
8,42,329,pilot,0.9146871224114556,0.3347975055078773,35,0.3465372106522255,0.8626288423380787,0.8769605844678217,0.28164476500717567,145,126.89373779296875,True,False,False
9,229,293,pilot,0.7848176541400378,0.15387120475781002,162,0.1878466352496802,0.7203329665504808,0.7070465667701665,0.1809722545629569,140,104.84342193603516,True,False,False
10,74,153,pilot,0.8584160898919533,0.39125890227170224,129,0.4409686649181072,0.8111765219245302,0.8139666332003268,0.34517484663307,142,108.72740936279297,True,False,False
11,399,348,pilot,0.8938113981180289,0.3659516641273718,182,0.2606190700170505,0.852539912499389,0.8083907030758648,0.3099190765861841,144,117.63195037841797,True,False,False
12,457,211,pilot,0.9401713122204303,0.27625152870763175,100,0.28882334961589406,0.8874934406992889,0.8984522802838653,0.4565237350408099,143,116.78839111328125,True,False,False
13,117,290,pilot,0.9221163383205818,0.3548892838069203,121,0.45082751492595596,0.8665343492376718,0.8258968401839865,0.41157627810174974,145,97.16009521484375,True,True,False
14,472,395,pilot,0.9349974426457643,0.35864542957023676,194,0.5066155343657971,0.9045848380147277,0.9039729857396431,0.4553495194949969,146,107.90790557861328,True,False,False
15,454,435,pilot,0.8982661786648177,0.2186216188596811,145,0.2558215141421051,0.8573440031144502,0.8551153089987791,0.2045919564390511,148,123.5247573852539,True,False,False
16,167,60,pilot,0.8820226317726803,0.21723162839447535,126,0.39147382542073533,0.8407803146348501,0.801141374797512,0.44869358819824845,143,107.3158187866211,True,False,False
17,100,26,pilot,0.9275991143947511,0.4247925650247789,108,0.35423531486369975,0.8699344158713836,0.8888177465295217,0.4218450495331077,143,115.06069946289062,True,False,False
18,353,55,pilot,0.8913616395173302,0.32561504644067163,111,0.20094816785146782,0.8237008101009765,0.8132212669534813,0.24476225312407446,145,109.40339660644531,True,False,False
19,592,254,pilot,0.9093434584934846,0.2902141759029371,187,0.40938486132067425,0.8491549377413073,0.8701646804212753,0.2538552006392791,141,127.88361358642578,True,False,False
20,270,216,pilot,0.8866964212357636,0.4089873751653546,55,0.5165018982304356,0.8375170425832484,0.8302755370680049,0.3002390754426556,145,109.47537231445312,True,False,False
21,459,18,pilot,0.8840700223043975,0.299612195794899,163,0.35695517953597494,0.7673678819868862,0.8270951135085659,0.47209075697727915,143,115.42202758789062,True,False,False
22,536,20,pilot,0.853309744571527,0.2550497727482896,134,0.41234913320499444,0.8133890252357767,0.7986591158807881,0.3808807713476936,147,113.88827514648438,True,False,False
23,83,276,pilot,0.9224282416131006,0.2720601413749571,0,0.3601541347626769,0.8821099065594625,0.8634284157840649,0.3190551163506699,147,119.04147338867188,True,False,False
24,524,143,pilot,0.9041422427443225,0.31886752185889594,78,0.39232068392764646,0.8669720930171906,0.8705748178282476,0.43679032454883415,147,105.91378784179688,True,False,False
25,18,394,pilot,0.9126156837004097,0.33598395744418497,171,0.2392804245373466,0.8471225217268326,0.8560379963534752,0.3311145374103458,142,124.42381286621094,True,False,False
