row,stim_idx,block,d_corr,d_para,norm_c,error
133,40,0,0.0008363311471201174,0.008463676982327417,10.446613311767578,
133,40,1,0.0007006079803587584,0.011282468189966255,16.9403018951416,
133,40,2,0.0023344489941519164,0.023467980937085797,18.109464645385742,
133,40,3,0.0029011486895458294,0.056044861020465686,18.2178955078125,
133,40,4,0.0029367921683197684,0.10882062615176413,25.75826072692871,
133,40,5,0.0035633199169573526,0.13308774512191468,29.07073974609375,
133,40,6,0.0033022292228597205,0.11271336166695156,31.864625930786133,
133,40,7,0.005679093582368955,0.1517865016250347,37.483638763427734,
133,40,8,0.008670660660471285,0.16252368183002475,44.356788635253906,
133,40,9,0.008367677645892191,0.146515868440104,45.457515716552734,
133,40,10,0.0068411897663365195,0.12242283103583318,50.35124206542969,
133,40,11,0.007511189390991713,0.14318417318282584,51.8119010925293,
133,40,12,0.007468816796543987,0.1509056001937059,53.14431381225586,
133,40,13,0.006252930435212689,0.1219904181104342,61.80356979370117,
133,40,14,0.006455071269643842,0.11210024806316421,61.43318557739258,
133,40,15,0.005602968493672589,0.10011041736450654,68.36495208740234,
133,40,16,0.0060516013417063474,0.1087988117518649,68.21676635742188,
133,40,17,0.0070174962680050745,0.0957128792733336,71.59198760986328,
133,40,18,0.007685552320772171,0.08502306923908054,83.4510726928711,
133,40,19,0.007074717357920535,0.07104814188821784,98.30831146240234,
133,40,20,0.007257362987674543,0.06526471763447739,117.22343444824219,
133,40,21,0.006640124358812338,0.0615314060160953,144.8296661376953,
133,40,22,0.007935332155426078,0.05838620672757555,180.1450653076172,
133,40,23,0.013562646390658184,0.05635492674206133,212.93125915527344,
133,40,24,0.01812350982761657,0.049234763397615566,273.16741943359375,
133,40,25,0.01819899906654887,0.05392891498560948,327.43084716796875,
133,40,26,0.04797954259820947,0.057798376588032774,412.0000305175781,
133,40,27,0.059832664291807,0.04858623728290867,323.9959716796875,
134,40,0,0.0018376659861397693,0.012332767526613608,10.419388771057129,
134,40,1,0.002030740387724661,0.012610753432070743,17.998239517211914,
134,40,2,0.006496450141615817,0.037732806990461,20.00012969970703,
134,40,3,0.010674325199718782,0.1280797622001345,19.17479705810547,
134,40,4,0.013407368562634692,0.13147324282204786,24.86505126953125,
134,40,5,0.012524542561566765,0.13350752488456008,28.51274871826172,
134,40,6,0.01070657668603725,0.1273933677253123,32.3123664855957,
134,40,7,0.015784445037101524,0.15530202656423653,37.3390007019043,
134,40,8,0.017129984075238802,0.18010852161264956,42.936519622802734,
134,40,9,0.014990385977121212,0.18392292639505226,45.40533447265625,
134,40,10,0.013025838548963664,0.21490869277490032,50.810123443603516,
134,40,11,0.0137885584874613,0.2353311732428206,54.22203826904297,
134,40,12,0.013097791470885634,0.2592785355985434,57.477806091308594,
134,40,13,0.01222727086701303,0.2583910027633688,62.1840934753418,
134,40,14,0.012334470981700818,0.3052829236951652,63.70816421508789,
134,40,15,0.010766444141968479,0.2854732454010511,71.0053482055664,
134,40,16,0.01198629503271964,0.31218369022328707,69.4311752319336,
134,40,17,0.01146158957673915,0.2972472119120284,73.91557312011719,
134,40,18,0.010496163416099824,0.31214915066400584,80.83760070800781,
134,40,19,0.011065651515623554,0.3242569712640734,90.02375793457031,
134,40,20,0.011282094809768939,0.28068019184067683,102.45415496826172,
134,40,21,0.011588454162635431,0.26524102795932947,130.34219360351562,
134,40,22,0.014221183001330906,0.24210566504149644,161.0098876953125,
134,40,23,0.015294595128402366,0.21177763936393668,214.95266723632812,
134,40,24,0.01718038661746213,0.18599442374372332,265.39447021484375,
134,40,25,0.015160875478759661,0.19118308362692238,330.8594970703125,
134,40,26,0.021801885680920785,0.1877867456977076,397.87353515625,
134,40,27,0.03279693409394058,0.19295664290984726,320.9226379394531,
135,40,0,0.0005711772535602622,0.004229279553136123,9.751537322998047,
135,40,1,0.0003250413598981927,0.00939172375098829,16.57208824157715,
135,40,2,0.0005392224552603908,0.0208297823756618,17.94576072692871,
135,40,3,0.0008653354474803532,0.06199978010099927,17.40363311767578,
135,40,4,0.00077623999363019,0.06522212744461964,21.92291259765625,
135,40,5,0.0008147346593676552,0.07247929634673189,27.418676376342773,
135,40,6,0.0022980238631539196,0.0757764189364396,28.539695739746094,
135,40,7,0.0054200798770190906,0.1362346890883882,36.58750534057617,
135,40,8,0.006242274203749676,0.1927656367470313,39.862220764160156,
135,40,9,0.006049441489974883,0.18116559656149134,46.38560104370117,
135,40,10,0.0056026766104028125,0.17995654955140916,47.24761962890625,
135,40,11,0.005361185525604939,0.17856708284941347,50.34371566772461,
135,40,12,0.00598395881455438,0.20212950365390692,53.83301544189453,
135,40,13,0.006057624954060592,0.19944400865826206,59.04214859008789,
135,40,14,0.006672763699988815,0.1961859593079801,60.127098083496094,
135,40,15,0.008024536677801009,0.18114895889553007,65.37062072753906,
135,40,16,0.008788578628498023,0.1897190198125962,65.19467163085938,
135,40,17,0.00888139885888728,0.18126213512243738,71.03243255615234,
135,40,18,0.00947099505970661,0.1908085209306497,80.14502716064453,
135,40,19,0.007716991591048106,0.1939795381759395,99.28636169433594,
135,40,20,0.006682568295796165,0.2017700973375406,123.55567169189453,
135,40,21,0.005838138502448076,0.1989444858383712,147.3389129638672,
135,40,22,0.00546068179346304,0.20616079195395465,179.83599853515625,
