stim_idx,split,cos_own,cos_empty,cos_own_round1,cos_empty_round1,act_norm,act_norm_round1
0,pilot,0.9037843794874333,0.189612725178903,0.9037843794874332,0.189612725178903,126.24312591552734,126.24312591552734
1,pilot,0.8197721761736144,0.15344474756965285,0.8197721761736144,0.1534447475696528,107.1145248413086,107.1145248413086
2,pilot,0.9551085174545655,0.3769455391194011,0.9551085174545656,0.3769455391194011,105.75189971923828,105.75189971923828
3,pilot,0.8738534404539006,0.1789672315352897,0.8738534404539006,0.1789672315352897,112.0785140991211,112.0785140991211
4,pilot,0.9391552864990333,0.3708906821022327,0.9391552864990332,0.3708906821022327,123.80754089355469,123.80754089355467
5,pilot,0.9065484872402003,0.24209452590399638,0.9065484872402004,0.2420945259039963,114.8030014038086,114.8030014038086
6,pilot,0.8088752239783188,0.13482763744489176,0.8088752239783188,0.1348276374448917,115.86563110351562,115.86563110351562
7,pilot,0.8796824805517404,0.32588674576573023,0.8796824805517404,0.3258867457657302,118.75248718261719,118.7524871826172
8,pilot,0.9146871224114556,0.28164476500717567,0.9146871224114556,0.2816447650071756,126.89373779296875,126.89373779296876
9,pilot,0.7848176541400378,0.1809722545629569,0.7848176541400378,0.1809722545629569,104.84342193603516,104.84342193603516
10,pilot,0.8584160898919533,0.34517484663307,0.8584160898919533,0.34517484663307,108.72740936279297,108.72740936279295
11,pilot,0.8938113981180289,0.3099190765861841,0.8938113981180289,0.3099190765861841,117.63195037841797,117.63195037841795
12,pilot,0.9401713122204303,0.4565237350408099,0.9401713122204304,0.4565237350408099,116.78839111328125,116.78839111328124
13,pilot,0.9221163383205818,0.41157627810174974,0.9221163383205818,0.4115762781017497,97.16009521484375,97.16009521484376
14,pilot,0.9349974426457643,0.4553495194949969,0.9349974426457645,0.4553495194949969,107.90790557861328,107.90790557861328
15,pilot,0.8982661786648177,0.2045919564390511,0.8982661786648177,0.2045919564390511,123.5247573852539,123.5247573852539
16,pilot,0.8820226317726803,0.44869358819824845,0.8820226317726803,0.4486935881982484,107.3158187866211,107.3158187866211
17,pilot,0.9275991143947511,0.4218450495331077,0.9275991143947512,0.4218450495331077,115.06069946289062,115.06069946289062
18,pilot,0.8913616395173302,0.24476225312407446,0.8913616395173302,0.2447622531240744,109.40339660644531,109.40339660644533
19,pilot,0.9093434584934846,0.2538552006392791,0.9093434584934846,0.2538552006392791,127.88361358642578,127.88361358642578
20,pilot,0.8866964212357636,0.3002390754426556,0.8866964212357636,0.3002390754426556,109.47537231445312,109.47537231445312
21,pilot,0.8840700223043975,0.47209075697727915,0.8840700223043975,0.4720907569772791,115.42202758789062,115.42202758789062
22,pilot,0.853309744571527,0.3808807713476936,0.853309744571527,0.3808807713476936,113.88827514648438,113.88827514648438
23,pilot,0.9224282416131006,0.3190551163506699,0.9224282416131006,0.3190551163506699,119.04147338867188,119.04147338867188
24,pilot,0.9041422427443225,0.43679032454883415,0.9041422427443224,0.4367903245488341,105.91378784179688,105.91378784179688
25,pilot,0.9126156837004097,0.3311145374103458,0.9126156837004096,0.3311145374103458,124.42381286621094,124.42381286621094
26,pilot,0.9058118201207965,0.31853758427980616,0.9058118201207964,0.3185375842798061,116.15201568603516,116.15201568603516
27,pilot,0.9131462232734604,0.350401460563363,0.9131462232734604,0.350401460563363,115.64543914794922,115.64543914794922
28,pilot,0.8619692295153444,0.38855278653303876,0.8619692295153444,0.3885527865330387,112.84396362304688,112.84396362304688
29,pilot,0.7934917735082035,0.23962722967438171,0.7934917735082035,0.2396272296743817,103.76177215576172,103.76177215576172
30,pilot,0.8849677179886848,0.12664831035161314,0.8849677179886848,0.1266483103516131,123.33782196044922,123.33782196044922
31,pilot,0.9395076679533975,0.4778324278361696,0.9395076679533976,0.4778324278361696,103.10995483398438,103.10995483398438
32,pilot,0.9637360001133245,0.3959777421241626,0.9637360001133244,0.3959777421241626,103.4765853881836,103.4765853881836
33,pilot,0.9256380498548303,0.41813658877849075,0.9256380498548304,0.4181365887784907,111.1321029663086,111.1321029663086
34,pilot,0.8721292975890945,0.3832546237103641,0.8721292975890945,0.3832546237103641,122.31005096435547,122.31005096435548
35,pilot,0.9355693404990043,0.42423467579801954,0.9355693404990044,0.4242346757980195,111.77217102050781,111.7721710205078
36,pilot,0.8776994557850186,0.39376389861355227,0.8776994557850186,0.3937638986135522,114.5987548828125,114.5987548828125
37,pilot,0.8578541046282586,0.3515523421649009,0.8578541046282586,0.3515523421649009,104.79086303710938,104.79086303710938
38,pilot,0.9057941825241568,0.4608515262113237,0.9057941825241568,0.4608515262113237,129.5709228515625,129.5709228515625
39,pilot,0.8895330079303785,0.2832617778496775,0.8895330079303785,0.2832617778496775,115.55781555175781,115.5578155517578
40,eval,0.8764560881634189,0.31508149870954455,0.8764560881634189,0.3150814987095445,119.75593566894531,119.75593566894533
41,eval,0.8451522502372644,0.5117262745363628,0.8451522502372644,0.5117262745363628,104.7372817993164,104.7372817993164
42,eval,0.9022261455224687,0.298296919470521,0.9022261455224688,0.298296919470521,111.78105926513672,111.78105926513672
43,eval,0.8973881994501998,0.3324820607724267,0.8973881994501998,0.3324820607724267,119.54602813720703,119.54602813720705
44,eval,0.8839904725358461,0.32691525211062217,0.8839904725358461,0.3269152521106221,107.0245361328125,107.0245361328125
45,eval,0.8848661629056508,0.42346047267391806,0.8848661629056508,0.423460472673918,101.81363677978516,101.81363677978516
46,eval,0.9126302376390062,0.35789290685500086,0.9126302376390062,0.3578929068550008,123.77147674560547,123.77147674560548
47,eval,0.8929812449451633,0.3542080002511649,0.8929812449451633,0.3542080002511649,103.33445739746094,103.33445739746094
48,eval,0.8996911309373561,0.45127342894233957,0.8996911309373561,0.4512734289423395,100.0970687866211,100.0970687866211
49,eval,0.8391334933586021,0.35788814722482953,0.8391334933586021,0.3578881472248295,118.66777801513672,118.66777801513672
50,eval,0.8940764736951006,0.3744466482442854,0.8940764736951006,0.3744466482442854,118.33050537109375,118.33050537109376
51,eval,0.8991241584243834,0.3344392745782137,0.8991241584243834,0.3344392745782137,120.10110473632812,120.10110473632812
52,eval,0.8549496520398193,0.32384763328192473,0.8549496520398193,0.3238476332819247,114.92878723144531,114.92878723144533
53,eval,0.9140736077258251,0.4358817204496998,0.9140736077258252,0.4358817204496998,101.49183654785156,101.49183654785156
54,eval,0.8647387305511626,0.28793070709742846,0.8647387305511626,0.2879307070974284,109.68121337890625,109.68121337890624
55,eval,0.7994054719400961,0.43969957622995126,0.7994054719400961,0.4396995762299512,95.41879272460938,95.41879272460938
56,eval,0.8189734233163892,0.4567057788704074,0.8189734233163892,0.4567057788704074,80.00147247314453,80.00147247314453
57,eval,0.8977141976973927,0.3404552560868106,0.8977141976973927,0.3404552560868106,137.43704223632812,137.43704223632812
58,eval,0.8961252919911622,0.36240867669272586,0.8961252919911622,0.3624086766927258,117.90853881835938,117.90853881835938
59,eval,0.8633531194606237,0.31230926302414896,0.8633531194606237,0.3123092630241489,102.5267333984375,102.5267333984375
60,eval,0.8909317153231097,0.3003787798552016,0.8909317153231097,0.3003787798552016,119.33595275878906,119.33595275878906
61,eval,0.8937795982447434,0.34461530827441766,0.8937795982447434,0.3446153082744176,119.87686920166016,119.87686920166016
62,eval,0.925907818840253,0.32799700617486705,0.925907818840253,0.327997006174867,106.54206085205078,106.54206085205078
63,eval,0.9020529767698311,0.34836937429736126,0.9020529767698312,0.3483693742973612,116.00274658203125,116.00274658203124
64,eval,0.9069603518111161,0.31293170299656503,0.906960351811116,0.312931702996565,130.31068420410156,130.31068420410156
65,eval,0.8709104170652038,0.31888991310501,0.8709104170652038,0.31888991310501,113.7861328125,113.7861328125
66,eval,0.8872040192986572,0.37626630612723067,0.8872040192986572,0.3762663061272306,111.60987091064453,111.60987091064452
67,eval,0.8152549859747157,0.5006135001273221,0.8152549859747157,0.5006135001273221,80.7308120727539,80.7308120727539
68,eval,0.8677497710112528,0.22310716664104557,0.8677497710112528,0.2231071666410455,121.04952239990234,121.04952239990234
69,eval,0.8693632494104001,0.40349399000958597,0.8693632494104001,0.4034939900095859,102.15807342529297,102.15807342529295
70,eval,0.9241751918755847,0.4718854174918755,0.9241751918755848,0.4718854174918755,106.40249633789062,106.40249633789062
71,eval,0.8892084802435517,0.3666096782703893,0.8892084802435517,0.3666096782703893,103.50291442871094,103.50291442871094
72,eval,0.9243353654254957,0.3967756806169788,0.9243353654254955,0.3967756806169788,104.15827941894531,104.15827941894533
73,eval,0.8158129468330602,0.5170844806200575,0.8158129468330602,0.5170844806200575,92.76123046875,92.76123046875
74,eval,0.9384561350386859,0.3881760024805071,0.938456135038686,0.3881760024805071,132.8726806640625,132.8726806640625
75,eval,0.7981617598261463,0.21153252402010445,0.7981617598261463,0.2115325240201044,114.38236236572266,114.38236236572266
76,eval,0.8165510187590126,0.09474201818706096,0.8165510187590126,0.0947420181870609,137.17677307128906,137.17677307128906
77,eval,0.8530178711007769,0.34282556261837765,0.8530178711007769,0.3428255626183776,114.97297668457031,114.97297668457033
78,eval,0.7967841481608959,0.4877148834090785,0.7967841481608959,0.4877148834090785,106.09453582763672,106.09453582763672
79,eval,0.8839908756785633,0.39980173680966746,0.8839908756785633,0.3998017368096674,116.27408599853516,116.27408599853516
80,eval,0.9421320718734909,0.387839075474186,0.9421320718734908,0.387839075474186,106.13996887207031,106.13996887207033
