row,stim_idx,claim_idx,edit_type,edit_ok,cos_z,cos_z_joined,cos_rest,Δ_z,cos_z_edit,Δ_z_edit,error
133,40,0,corrupt,True,0.8764560881634189,0.8783395079079805,0.8531066170376559,-0.023349471125763,0.8770037064496233,-0.023897089411967443,
133,40,0,paraphrase,True,0.8764560881634189,0.8783395079079805,0.8531066170376559,-0.023349471125763,0.8744719004996321,-0.021365283461976192,
133,40,0,corrupt_det,False,0.8764560881634189,0.8783395079079805,0.8531066170376559,-0.023349471125763,,,
133,40,0,offtopic,True,0.8764560881634189,0.8783395079079805,0.8531066170376559,-0.023349471125763,0.8360988357072939,0.01700778133036196,
134,40,1,corrupt,True,0.8764560881634189,0.8783395079079805,0.8710362826499719,-0.005419805513447,0.878170381300213,-0.007134098650241061,
134,40,1,paraphrase,True,0.8764560881634189,0.8783395079079805,0.8710362826499719,-0.005419805513447,0.8791912420565731,-0.008154959406601159,
134,40,1,corrupt_det,True,0.8764560881634189,0.8783395079079805,0.8710362826499719,-0.005419805513447,0.8783395079079805,-0.007303225258008639,
134,40,1,offtopic,True,0.8764560881634189,0.8783395079079805,0.8710362826499719,-0.005419805513447,0.8578568441380541,0.01317943851191783,
135,40,2,corrupt,True,0.8764560881634189,0.8783395079079805,0.8761365520470683,-0.0003195361163506,0.8757898459464926,0.00034670610057574436,
135,40,2,paraphrase,True,0.8764560881634189,0.8783395079079805,0.8761365520470683,-0.0003195361163506,0.8783791838012055,-0.002242631754137192,
135,40,2,corrupt_det,False,0.8764560881634189,0.8783395079079805,0.8761365520470683,-0.0003195361163506,,,
135,40,2,offtopic,True,0.8764560881634189,0.8783395079079805,0.8761365520470683,-0.0003195361163506,0.8650487762560265,0.01108777579104181,
136,40,3,corrupt,True,0.8764560881634189,0.8783395079079805,0.8161844407683683,-0.0602716473950506,0.8387384083830742,-0.02255396761470596,
136,40,3,paraphrase,True,0.8764560881634189,0.8783395079079805,0.8161844407683683,-0.0602716473950506,0.8784929672691534,-0.06230852650078511,
136,40,3,corrupt_det,True,0.8764560881634189,0.8783395079079805,0.8161844407683683,-0.0602716473950506,0.872149640920524,-0.05596520015215578,
136,40,3,offtopic,True,0.8764560881634189,0.8783395079079805,0.8161844407683683,-0.0602716473950506,0.4059718063785043,0.410212634389864,
137,41,0,corrupt,True,0.8451522502372644,0.7969128731028461,0.7936809954804497,-0.0514712547568146,0.794394972378715,-0.000713976898265356,
137,41,0,paraphrase,True,0.8451522502372644,0.7969128731028461,0.7936809954804497,-0.0514712547568146,0.7963295932792532,-0.0026485977988035536,
137,41,0,corrupt_det,True,0.8451522502372644,0.7969128731028461,0.7936809954804497,-0.0514712547568146,0.7990811870853411,-0.005400191604891469,
137,41,0,offtopic,True,0.8451522502372644,0.7969128731028461,0.7936809954804497,-0.0514712547568146,0.7821037411724117,0.01157725430803802,
138,41,1,corrupt,True,0.8451522502372644,0.7969128731028461,0.7954239756553171,-0.0497282745819472,0.7932255432617724,0.0021984323935446692,
138,41,1,paraphrase,True,0.8451522502372644,0.7969128731028461,0.7954239756553171,-0.0497282745819472,0.791951961104879,0.0034720145504381072,
138,41,1,corrupt_det,True,0.8451522502372644,0.7969128731028461,0.7954239756553171,-0.0497282745819472,0.7969128731028461,-0.0014888974475290029,
138,41,1,offtopic,True,0.8451522502372644,0.7969128731028461,0.7954239756553171,-0.0497282745819472,0.7775017835687632,0.01792219208655388,
139,41,2,corrupt,True,0.8451522502372644,0.7969128731028461,0.7998078372027114,-0.0453444130345529,0.7970193699353826,0.0027884672673288424,
139,41,2,paraphrase,True,0.8451522502372644,0.7969128731028461,0.7998078372027114,-0.0453444130345529,0.7982405313781077,0.0015673058246037375,
139,41,2,corrupt_det,False,0.8451522502372644,0.7969128731028461,0.7998078372027114,-0.0453444130345529,,,
139,41,2,offtopic,True,0.8451522502372644,0.7969128731028461,0.7998078372027114,-0.0453444130345529,0.7650527965458376,0.03475504065687385,
140,41,3,corrupt,True,0.8451522502372644,0.7969128731028461,0.7966245220795042,-0.0485277281577601,0.7954999898178517,0.0011245322616524334,
140,41,3,paraphrase,True,0.8451522502372644,0.7969128731028461,0.7966245220795042,-0.0485277281577601,0.7977707996678104,-0.0011462775883062104,
140,41,3,corrupt_det,True,0.8451522502372644,0.7969128731028461,0.7966245220795042,-0.0485277281577601,0.7981359745613142,-0.0015114524818100605,
140,41,3,offtopic,True,0.8451522502372644,0.7969128731028461,0.7966245220795042,-0.0485277281577601,0.628358523568363,0.1682659985111412,
141,41,4,corrupt,True,0.8451522502372644,0.7969128731028461,0.7847076354059165,-0.0604446148313478,0.7988708786021169,-0.014163243196200437,
141,41,4,paraphrase,True,0.8451522502372644,0.7969128731028461,0.7847076354059165,-0.0604446148313478,0.7917295740015782,-0.007021938595661692,
141,41,4,corrupt_det,False,0.8451522502372644,0.7969128731028461,0.7847076354059165,-0.0604446148313478,,,
141,41,4,offtopic,True,0.8451522502372644,0.7969128731028461,0.7847076354059165,-0.0604446148313478,0.7366504326763209,0.04805720272959557,
