pair_id,template_id,block,d_entity_w1,d_entity_w2,d_phrasing_a,d_phrasing_b,norm_a,error
0,0,0,0.0003857404040145118,0.00034745843214245564,0.0003056220294471723,0.00032673165582153274,13.159282684326172,
0,0,1,0.00030134629754619,0.00025946743959848195,0.00027378911974984543,0.00029529598512523236,20.716102600097656,
0,0,2,0.0007734124784963825,0.0009596661636622761,0.0006455597500250043,0.0007184804371546116,23.36787986755371,
0,0,3,0.0010072618001160105,0.0012278893925725676,0.0008421126205950813,0.0009319767080309127,23.74066734313965,
0,0,4,0.0015186567126783679,0.0017847625173588177,0.0009083301223976603,0.0009710929346244956,25.378223419189453,
0,0,5,0.001121161681600813,0.0013043235091378946,0.0008024346360030465,0.000939229684957188,30.064884185791016,
0,0,6,0.0016522227635943354,0.0016073737900847984,0.0015381357656115702,0.001870453426766061,33.10769271850586,
0,0,7,0.007180358639714224,0.007444405404250065,0.0023422730292104177,0.002356333515072473,40.33247375488281,
0,0,8,0.00871102678175495,0.009543197034960538,0.004364027614572885,0.0035432574823003327,41.63270568847656,
0,0,9,0.06300292957975662,0.07097809575659764,0.008625871843010224,0.005851724948944148,50.6195182800293,
0,0,10,0.049981494519020564,0.05754129955936138,0.009277283350297538,0.005831096633935884,51.90416717529297,
0,0,11,0.05169818623451572,0.05900045905365903,0.011355196516202759,0.007145915155408522,54.23482131958008,
0,0,12,0.0539348046733088,0.06403602044069767,0.014319855936346215,0.009691176956321712,54.235023498535156,
0,0,13,0.04732456346396474,0.05751684377081889,0.01567520772966402,0.011874230956687715,58.06813049316406,
0,0,14,0.04185227804085745,0.05064055447805238,0.014191439314468535,0.011420121144963602,63.21794128417969,
0,0,15,0.036029686606178446,0.043892592409864206,0.013064645284586063,0.011231460390714543,69.46720886230469,
0,0,16,0.03921268917033183,0.047105536902518175,0.015637916750972924,0.013706639087527672,68.14874267578125,
0,0,17,0.0391925267047758,0.046599345739518516,0.017692424790954786,0.015420429948124648,70.69607543945312,
0,0,18,0.03679792825640604,0.04157660804572483,0.01739646446102161,0.013712907751066816,76.83113861083984,
0,0,19,0.03547431997731265,0.03582537652533069,0.020805477964887298,0.016273323445679,86.89986419677734,
0,0,20,0.035738528879567966,0.03096328106238,0.02542780950014578,0.019139297863780436,99.62255096435547,
0,0,21,0.030199388643934677,0.02275520678546261,0.024065186172524733,0.018255924457818873,126.61743927001953,
0,0,22,0.03274617474052999,0.02437822745684548,0.02491099819860776,0.01946937083810185,161.73617553710938,
0,0,23,0.04206309671374342,0.03928751893930238,0.023709445632477455,0.018544122295341747,211.19564819335938,
0,0,24,0.041873613525077014,0.04101021339905675,0.023534848155904675,0.021640547691542222,274.3622741699219,
0,0,25,0.0514310582289198,0.05031081666252679,0.020770626526226854,0.020265576161000665,347.7610168457031,
0,0,26,0.04679796544473469,0.048397601975607496,0.01858811623538892,0.01860564551093924,427.3751220703125,
