text_id,activation_id,cos,mse,pred_norm,V_vs_orig_wording,carrier_id
c0_carrier,0,0.9110167110114638,0.1779665779770725,185.11680603027344,,0
c1_carrier,1,0.846466506075511,0.307066987848978,166.3223114013672,,1
c2_carrier,2,0.8800338678383559,0.23993226432328818,174.15652465820312,,2
c3_carrier,3,0.8694688752404652,0.26106224951906953,181.4911346435547,,3
c4_carrier,4,0.8872770777170098,0.22544584456598038,180.5541534423828,,4
c5_carrier,5,0.8767025951534552,0.24659480969308967,176.59576416015625,,5
c6_carrier,6,0.8782665546924581,0.24346689061508386,171.78192138671875,,6
c7_carrier,7,0.90674601381527,0.18650797236946004,192.4000244140625,,7
c8_carrier,8,0.8998637432633867,0.2002725134732266,181.680419921875,,8
c9_carrier,9,0.8859246075364632,0.22815078492707364,176.05068969726562,,9
c10_carrier,10,0.9005417042343598,0.1989165915312805,174.67010498046875,,10
c11_carrier,11,0.8692500562838166,0.26149988743236685,155.59786987304688,,11
c12_carrier,12,0.9073671274161774,0.18526574516764516,180.65292358398438,,12
c13_carrier,13,0.9285967068272684,0.14280658634546328,194.0497283935547,,13
c14_carrier,14,0.8600896736463156,0.2798206527073688,169.98916625976562,,14
c15_carrier,15,0.8905727037503295,0.21885459249934103,181.12222290039062,,15
c16_carrier,16,0.8158535215946741,0.3682929568106519,174.06585693359375,,16
c17_carrier,17,0.8722226179668602,0.25555476406627964,182.8150177001953,,17
c18_carrier,18,0.9052087908598071,0.1895824182803858,180.60658264160156,,18
c19_carrier,19,0.8924481993325539,0.21510360133489215,184.80699157714844,,19
c20_carrier,20,0.86946816317733,0.26106367364534,177.4469451904297,,20
c21_carrier,21,0.8618799064221891,0.2762401871556217,170.89651489257812,,21
c22_carrier,22,0.8637001289651631,0.27259974206967374,176.41619873046875,,22
c23_carrier,23,0.8629616537531732,0.2740766924936535,177.6126251220703,,23
c24_carrier,24,0.910433956682126,0.17913208663574798,179.53997802734375,,24
c25_carrier,25,0.8778747339917803,0.24425053201643943,169.48220825195312,,25
c26_carrier,26,0.8608345934708416,0.27833081305831686,158.57887268066406,,26
c27_carrier,27,0.8817457160078834,0.23650856798423314,180.8960723876953,,27
c28_carrier,28,0.8849390108935747,0.23012197821285052,176.9051971435547,,28
c29_carrier,29,0.9053139599628195,0.18937208007436102,185.17584228515625,,29
c30_carrier,30,0.8678605185493107,0.26427896290137864,175.44769287109375,,30
