pilot_id,split,cos_z,fve_z_released,fve_z_local,n_chars
0,dev,0.9216184765643882,0.7862807813616585,0.7474736892107443,711
1,dev,0.8996887602963818,0.7264860539778645,0.6768214474185322,751
2,dev,0.8629867773784817,0.6264124809229222,0.5585765353695701,705
3,dev,0.8860491827605156,0.68929565851538,0.6328780275297144,693
4,dev,0.9035815786713945,0.7371004190085741,0.6893631666876421,702
5,dev,0.8450629856293282,0.5775405197800361,0.5008304134855421,710
6,dev,0.9021547736755684,0.7332100168386324,0.6847663460847913,821
7,dev,0.8890223614013071,0.6974024850751386,0.6424568900035124,577
8,dev,0.8956630124600491,0.7155092364282184,0.6638514615759881,805
9,dev,0.879622334146882,0.6717718722478037,0.6121722757241228,796
10,dev,0.8764593962388716,0.6631476380064665,0.6019820547874059,643
11,dev,0.8994703080139227,0.7258904103992438,0.6761176470003354,671
12,dev,0.9334084560150457,0.8184279645945352,0.7854581514214263,746
13,dev,0.8868785069661826,0.6915569378764352,0.6355499095361592,651
14,dev,0.7410207008931853,0.29385330850220936,0.16563133621720683,634
15,dev,0.8701971594119394,0.6460726909664334,0.581806642344793,588
16,dev,0.8688495408935648,0.6423982028454391,0.5774649414198807,652
17,dev,0.9316778784507104,0.8137092800292035,0.7798826490746869,656
18,dev,0.886912000441992,0.6916482629638501,0.6356578174143289,735
19,dev,0.8495932316803447,0.5898929289170953,0.5154257705555098,660
20,eval,0.9079507026204466,0.7490135040775641,0.7034394273148223,651
21,eval,0.9051973196460036,0.7415059840381829,0.6945686933171957,790
22,eval,0.7622333692009964,0.35169289489024236,0.2339734229102287,731
23,eval,0.9106912062848694,0.7564859067072105,0.7122686672906136,703
24,eval,0.9050226088349284,0.7410296082751966,0.6940058173402817,539
25,eval,0.9058975940970199,0.7434153894942601,0.6968248082267301,800
26,eval,0.9083120339089376,0.7499987291313908,0.7046035493330719,739
27,eval,0.8789270041140576,0.6698759485045878,0.6099320905341226,803
28,eval,0.8812503699768404,0.6762109610820459,0.6174174134039211,667
29,eval,0.8614088134476189,0.6221099207842369,0.553492717238035,577
30,eval,0.9008407477457964,0.7296271240512512,0.6805328723554966,530
31,eval,0.8841404264156308,0.6840911422375756,0.6267284762471945,645
32,eval,0.8515372677088904,0.5951936406513711,0.5216889844458765,546
33,eval,0.9268003734776105,0.8004100162988697,0.7641685077474266,742
34,eval,0.9366201315769253,0.8271850895076354,0.7958053932909938,635
35,eval,0.9353883885973504,0.8238265537760066,0.7918370153258969,712
36,eval,0.8715764442154693,0.6498335220599027,0.5862503643815202,647
37,eval,0.9168401725511306,0.7732520042293949,0.7320791493828898,704
38,eval,0.9164655736500644,0.772230602999494,0.7308722823258893,531
39,eval,0.939566224875926,0.8352180637380395,0.8052969933445288,699
40,eval,0.9231380048405641,0.7904240077452327,0.7523692417963976,564
41,eval,0.8652991259204436,0.632717453089144,0.566026363096384,715
42,eval,0.9103623133774161,0.7555891298634387,0.7112090538903693,640
43,eval,0.9307450082991188,0.8111656668005965,0.776877167074578,729
44,eval,0.8256780618202836,0.5246845584738475,0.4383768775007494,620
45,eval,0.8924615407191805,0.7067799337946299,0.6535370939497742,696
46,eval,0.9300731378870705,0.8093337093035323,0.7747125631086652,692
47,eval,0.9018823357294219,0.7324671730863583,0.6838886169154176,795
48,eval,0.8424972137483138,0.5705445500976518,0.4925641170544496,655
49,eval,0.8913693470216868,0.7038019005362967,0.6500183100195036,755
50,eval,0.8756657953607121,0.6609837637647229,0.5994252647019802,767
51,eval,0.8899455614314273,0.6999197312377023,0.6454312172111011,714
52,eval,0.871498247032,0.6496203054723926,0.5859984319695171,771
53,eval,0.8584818821613908,0.6141291947140852,0.5440628525550397,644
54,eval,0.8869927581896152,0.6918684613213775,0.6359179993447259,718
55,eval,0.8595281916576784,0.6169821176760146,0.5474338086867909,704
56,eval,0.9074588646848365,0.7476724326784908,0.7018548444445001,757
57,eval,0.9084283334743586,0.7503158376942293,0.7049782384041039,718
58,eval,0.8805912361438913,0.674413731817018,0.6152938436153379,835
59,eval,0.909006129412635,0.7518912867420178,0.7068397571688142,709
60,eval,0.8862045813526832,0.6897193765581001,0.6333786842082514,548
61,eval,0.9230793045517802,0.7902639524247587,0.7521801236634612,771
62,eval,0.8212616609154152,0.512642565549871,0.42414830195655373,728
63,eval,0.8925890080539445,0.7071274929896236,0.6539477628725405,686
64,eval,0.8726308225578718,0.6527084459655674,0.589647316383885,732
65,eval,0.8872057433094002,0.6924491978443086,0.6366041858871001,667
66,eval,0.9382081642510374,0.8315151036156438,0.8009216504780049,595
67,eval,0.8613613210229399,0.6219804254204224,0.5533397081324585,645
68,eval,0.9459444831394417,0.8526093609800728,0.8258461987943287,691
69,eval,0.8454833032253987,0.5786865800283536,0.5021845751201098,785
70,eval,0.8888783865263526,0.6970099155456105,0.641993037778843,740
71,eval,0.9144975251397703,0.7668644175590194,0.7245317060270998,813
72,eval,0.8718461757793099,0.6505689864466528,0.5871193742416825,713
73,eval,0.8849889983918828,0.6864049035906825,0.6294623699151085,691
74,eval,0.888925626160851,0.6971387216383123,0.6421452324555987,681
75,eval,0.8827314478959621,0.6802493466829234,0.6221890882389285,698
76,eval,0.8291857026302936,0.5342486779285442,0.44967764781625996,667
77,eval,0.8708252981228668,0.6477854072879804,0.5838303533468471,737
78,eval,0.8970598593440329,0.7193179532216303,0.6683517643882912,694
79,eval,0.887481226753466,0.6932003456127225,0.6374917269141713,726
80,eval,0.8753160077456237,0.6600300143029958,0.5982983336074269,530
81,eval,0.9124698756658782,0.7613357209703564,0.7179991098389641,652
82,eval,0.8753464858237496,0.6601131174471702,0.5983965266035788,685
83,eval,0.9136306408389048,0.7645007248504561,0.7217388144783852,659
84,eval,0.8828638597473826,0.6806103878592572,0.6226156871984581,661
85,eval,0.916512176025648,0.7723576715082429,0.7310224239085522,789
86,eval,0.8743553122259031,0.6574105309499745,0.5952032050011797,726
87,eval,0.8682082327758757,0.6406495781209971,0.5753988017744542,664
88,eval,0.8917664259010144,0.7048845968671149,0.6512976021293502,710
89,eval,0.9195212180020865,0.7805622849409313,0.7407168293757312,729
90,eval,0.881566214383132,0.677072159190544,0.6184349876893938,730
91,eval,0.9311554827598428,0.8122848882340636,0.7781996165077663,692
92,eval,0.9133710437801842,0.7637928937428335,0.720902455542541,695
93,eval,0.9031931727603295,0.7360413708529776,0.6881118167838529,721
